case_id,cluster
173688,2
173691,1
173694,1
173697,0
173700,0
173703,0
173706,0
173709,0
173712,0
173715,2
173718,3
173721,2
173724,2
173727,0
173730,3
173733,0
173736,1
173739,1
173742,1
173745,2
173748,2
173751,2
173754,1
173757,0
173760,2
173763,0
173766,2
173769,0
173772,0
173775,0
173778,0
173781,0
173784,3
173787,2
173790,2
173793,2
173796,2
173799,0
173802,0
173805,1
173808,0
173811,1
173814,0
173817,2
173820,0
173823,2
173826,2
173829,0
173832,0
173835,2
173838,0
173841,0
173844,2
173847,2
173850,0
173853,0
173856,0
173859,2
173862,0
173865,0
173868,2
173871,2
173874,0
173877,0
173880,1
173883,0
173886,0
173889,0
173892,0
173895,0
173898,2
173901,0
173904,0
173907,0
173910,0
173913,2
173916,0
173919,2
173922,0
173925,0
173928,3
173931,0
173934,0
173937,2
173940,1
173943,1
173946,2
173949,1
173952,0
173955,3
173958,2
173961,0
173964,0
173979,2
173982,2
173985,2
173988,2
173991,0
173994,0
173997,2
174000,1
174003,0
174006,0
174009,2
174012,1
174015,0
174018,2
174021,0
174024,0
174027,0
174030,1
174033,0
174036,1
174039,1
174042,1
174045,1
174048,0
174051,0
174054,0
174057,0
174060,3
174063,0
174066,0
174069,1
174072,0
174075,0
174078,2
174081,0
174084,1
174087,2
174090,2
174093,2
174096,1
174099,1
174102,0
174105,2
174108,0
174111,0
174114,0
174117,0
174120,2
174123,0
174126,0
174129,0
174132,3
174135,0
174138,0
174141,2
174144,2
174147,2
174150,2
174153,2
174156,0
174159,1
174162,0
174165,0
174168,1
174171,0
174174,0
174177,2
174180,2
174183,0
174186,0
174189,0
174192,0
174195,0
174198,0
174201,0
174204,0
174207,2
174210,0
174213,2
174216,1
174219,0
174222,0
174225,0
174228,0
174231,2
174234,0
174237,1
174240,0
174243,0
174246,0
174249,2
174252,1
174255,2
174258,0
174261,1
174264,3
174267,0
174270,3
174273,0
174276,0
174279,0
174282,0
174285,2
174288,0
174291,2
174294,1
174297,0
174300,0
174303,0
174319,1
174322,2
174325,1
174328,0
174331,0
174334,2
174337,3
174340,0
174343,1
174346,0
174349,2
174352,0
174355,0
174358,3
174361,2
174364,0
174367,2
174370,0
174373,0
174376,2
174379,2
174382,1
174385,2
174388,2
174391,0
174394,2
174397,3
174400,0
174403,1
174406,1
174409,1
174412,0
174415,2
174418,1
174421,2
174424,1
174427,0
174430,2
174433,0
174436,1
174439,0
174442,0
174445,0
174448,2
174451,0
174454,0
174457,2
174460,0
174463,1
174466,0
174469,2
174472,0
174475,0
174478,1
174481,2
174484,0
174487,2
174490,2
174493,2
174496,0
174499,0
174502,1
174505,2
174508,2
174511,3
174514,0
174517,3
174520,0
174523,0
174526,0
174529,2
174532,0
174535,2
174538,2
174541,1
174544,0
174547,1
174559,1
174562,2
174565,2
174568,2
174571,2
174574,0
174577,3
174599,0
174602,2
174605,2
174608,0
174611,0
174614,1
174617,0
174620,2
174623,0
174626,0
174629,2
174632,0
174635,2
174638,2
174641,0
174644,1
174647,0
174650,1
174653,2
174656,2
174659,1
174662,0
174665,0
174668,0
174671,1
174674,0
174677,0
174680,0
174683,2
174686,2
174689,1
174692,0
174695,2
174698,0
174701,0
174704,0
174707,1
174710,2
174713,0
174716,0
174719,2
174722,1
174725,0
174728,0
174731,0
174734,0
174737,2
174740,1
174743,0
174746,0
174749,1
174752,2
174755,0
174758,1
174761,1
174764,1
174767,2
174770,0
174773,2
174776,0
174779,2
174782,0
174785,1
174788,0
174791,0
174794,0
174797,0
174800,2
174803,0
174806,1
174809,0
174812,0
174815,1
174818,1
174821,0
174824,2
174827,2
174830,0
174833,0
174836,0
174839,0
174842,0
174845,1
174848,2
174851,3
174854,2
174857,2
174860,0
174863,2
174866,0
174869,2
174872,3
174875,2
174878,2
174881,2
174884,1
174887,0
174890,0
174893,0
174896,1
174899,0
174902,0
174905,2
174908,0
174911,2
174914,2
174917,2
174920,2
174923,1
174926,2
174929,2
174932,0
174935,1
174938,1
174941,0
174944,3
174947,2
174950,0
174953,2
174956,0
174959,1
174962,1
174965,1
174968,1
174979,2
174982,0
174985,2
174988,0
174991,0
174994,0
174997,0
175000,0
175003,0
175006,0
175009,0
175012,0
175015,1
175018,2
175021,0
175024,2
175027,1
175030,0
175033,0
175036,0
175039,1
175042,0
175045,2
175048,2
175051,0
175054,2
175057,0
175060,1
175063,0
175066,0
175069,0
175072,0
175075,0
175078,3
175081,1
175084,0
175087,0
175090,0
175093,3
175096,3
175099,2
175102,0
175105,2
175108,0
175111,0
175114,2
175117,0
175120,2
175123,0
175126,0
175129,0
175132,0
175135,2
175138,0
175141,2
175144,0
175147,1
175150,0
175153,2
175156,0
175159,0
175162,2
175165,0
175168,0
175171,2
175174,2
175177,1
175180,2
175183,2
175186,0
175189,0
175192,1
175195,1
175198,0
175201,0
175204,2
175219,0
175222,0
175225,0
175228,0
175231,1
175234,1
175239,2
175242,0
175245,0
175248,1
175251,2
175254,1
175257,0
175260,2
175263,2
175266,2
175269,0
175272,0
175275,1
175278,2
175281,3
175284,0
175287,1
175290,0
175293,1
175296,0
175299,0
175302,2
175305,2
175308,0
175311,3
175314,0
175317,0
175320,0
175323,1
175326,0
175329,3
175332,2
175335,1
175338,2
175341,0
175344,1
175347,2
175350,0
175353,3
175356,0
175359,0
175362,0
175365,2
175368,0
175371,0
175374,1
175377,3
175380,2
175383,2
175386,2
175389,0
175392,1
175395,2
175398,0
175401,2
175404,0
175407,2
175410,1
175413,0
175416,0
175419,2
175422,0
175425,1
175428,1
175431,0
175434,2
175437,1
175440,0
175443,0
175446,0
175449,0
175452,0
175455,2
175458,0
175461,0
175464,0
175467,0
175470,0
175473,0
175476,0
175479,0
175482,0
175485,2
175488,0
175491,2
175494,2
175497,1
175500,0
175519,0
175522,0
175525,2
175528,2
175531,0
175534,1
175537,0
175540,0
175543,1
175546,2
175549,1
175552,2
175555,2
175558,0
175561,0
175564,0
175567,2
175570,0
175573,1
175576,0
175579,0
175582,2
175585,1
175588,0
175591,2
175594,0
175597,1
175600,2
175603,0
175606,2
175609,0
175612,0
175615,2
175618,0
175621,0
175624,2
175627,2
175630,2
175633,0
175636,0
175639,0
175642,2
175645,0
175648,0
175651,1
175654,0
175657,2
175660,0
175663,0
175666,0
175669,2
175672,2
175675,2
175678,0
175681,2
175684,1
175687,2
175690,2
175693,2
175696,0
175699,2
175702,2
175705,0
175708,0
175711,0
175714,2
175717,0
175720,2
175723,0
175726,2
175729,0
175732,0
175735,3
175738,0
175741,1
175744,1
175747,0
175750,0
175753,0
175756,2
175759,2
175762,0
175765,0
175768,0
175771,0
175774,2
175777,0
175780,2
175783,0
175786,0
175789,2
175792,1
175795,0
175798,2
175801,2
175804,1
175807,2
175810,0
175813,2
175816,0
175819,0
175822,2
175825,2
175828,0
175831,0
175834,2
175837,0
175840,2
175843,2
175846,0
175859,2
175862,0
175865,0
175868,0
175871,0
175874,0
175877,0
175880,0
175883,2
175886,0
175889,0
175892,3
175895,0
175898,0
175901,0
175904,0
175907,2
175910,2
175913,2
175916,0
175919,0
175922,2
175925,0
175928,0
175931,0
175934,0
175937,2
175940,0
175943,0
175946,0
175949,0
175952,0
175955,0
175958,2
175961,0
175964,0
175967,0
175970,2
175973,2
175976,0
175979,0
175982,0
175985,0
175988,0
175991,2
175994,1
175997,2
176000,2
176003,0
176006,2
176009,0
176012,1
176015,2
176018,0
176021,2
176024,0
176027,0
176030,2
176033,2
176036,0
176039,2
176042,0
176045,2
176048,2
176051,2
176054,0
176057,2
176060,2
176063,2
176066,0
176069,2
176072,2
176075,0
176078,2
176081,1
176084,2
176087,1
176090,1
176093,1
176096,2
176099,0
176102,0
176105,1
176119,1
176122,2
176125,0
176128,2
176131,2
176134,3
176137,2
176140,0
176143,0
176146,1
176149,0
176152,2
176155,0
176158,2
176161,0
176164,0
176167,2
176170,0
176173,0
176176,1
176179,2
176182,1
176185,2
176188,2
176191,2
176194,0
176197,0
176200,0
176203,2
176206,2
176209,0
176212,0
176215,0
176218,3
176221,0
176224,2
176227,2
176230,0
176233,0
176236,0
176239,1
176242,0
176245,0
176248,0
176251,0
176254,0
176257,0
176260,0
176263,0
176266,2
176269,1
176272,0
176275,3
176278,2
176281,1
176284,1
176287,1
176290,3
176293,0
176296,0
176299,0
176302,2
176305,1
176308,2
176311,0
176314,2
176317,0
176320,0
176323,2
176326,1
176329,0
176332,2
176339,0
176342,2
176345,1
176359,0
176362,0
176365,0
176368,1
176371,2
176374,1
176377,0
176380,3
176383,1
176386,1
176389,2
176392,2
176395,2
176398,0
176401,0
176404,1
176407,0
176410,0
176413,2
176416,0
176419,2
176422,0
176425,0
176428,2
176431,0
176434,0
176437,2
176440,0
176443,0
176446,3
176449,0
176452,0
176455,0
176458,2
176461,0
176464,0
176467,1
176470,0
176473,0
176476,1
176479,0
176482,0
176485,0
176488,1
176491,2
176494,0
176497,0
176500,2
176503,0
176506,0
176509,0
176512,0
176515,3
176518,0
176521,2
176524,0
176527,2
176530,0
176533,1
176536,0
176539,3
176542,3
176545,1
176548,0
176551,0
176554,0
176557,2
176560,0
176563,0
176566,3
176569,0
176572,2
176575,1
176578,0
176581,1
176584,0
176587,0
176590,1
176593,2
176596,1
176599,0
176602,0
176605,0
176608,1
176611,1
176614,2
176617,0
176620,0
176623,0
176626,0
176629,0
176632,2
176635,0
176639,2
176642,0
176645,0
176648,2
176651,0
176654,0
176657,1
176660,0
176663,2
176666,0
176669,0
176672,1
176675,0
176678,0
176681,0
176684,1
176687,0
176690,2
176693,0
176696,2
176699,0
176702,2
176705,1
176708,1
176711,2
176714,3
176717,2
176720,0
176723,0
176726,0
176729,2
176732,0
176735,2
176738,2
176741,0
176744,0
176747,2
176750,0
176753,0
176756,0
176759,0
176762,2
176765,1
176768,2
176771,2
176774,0
176777,0
176780,0
176783,2
176786,2
176789,2
176792,1
176795,0
176798,0
176801,0
176804,2
176807,2
176810,2
176813,3
176816,2
176819,0
176822,2
176825,2
176828,2
176831,2
176834,2
176837,2
176840,1
176843,0
176846,2
176849,2
176852,2
176855,1
176858,2
176879,1
176882,0
176885,2
176888,0
176891,1
176894,2
176897,0
176900,0
176903,2
176906,0
176909,0
176912,0
176915,0
176918,0
176921,1
176924,0
176927,1
176930,2
176933,0
176936,2
176939,0
176942,0
176945,0
176948,0
176951,0
176954,1
176957,2
176960,1
176963,1
176966,2
176969,0
176972,0
176975,2
176978,2
176981,1
176984,2
176987,0
176990,0
176993,0
176996,2
176999,0
177002,1
177005,2
177008,2
177011,2
177014,2
177017,0
177020,0
177023,1
177026,0
177029,2
177032,0
177035,0
177038,3
177041,0
177044,0
177047,0
177050,0
177053,3
177056,0
177059,0
177062,0
177065,0
177068,2
177071,0
177074,0
177077,3
177080,0
177083,3
177086,0
177089,2
177092,2
177095,0
177098,0
177119,0
177122,2
177125,2
177128,0
177131,0
177134,3
177137,0
177140,1
177143,0
177146,0
177149,1
177152,0
177155,2
177158,0
177161,2
177164,0
177167,2
177170,2
177173,2
177176,0
177179,0
177182,0
177185,0
177188,2
177191,2
177194,1
177197,2
177200,2
177203,0
177206,3
177209,2
177212,0
177215,2
177218,0
177221,1
177224,0
177227,0
177230,2
177233,2
177236,0
177239,2
177242,0
177245,0
177248,0
177251,2
177254,1
177257,0
177260,0
177263,1
177266,0
177269,2
177272,0
177275,0
177278,0
177281,0
177284,1
177287,0
177290,0
177293,2
177296,0
177299,1
177302,0
177305,0
177308,0
177311,0
177314,0
177317,2
177320,2
177323,1
177326,2
177329,1
177332,2
177335,2
177338,0
177341,0
177344,0
177347,0
177350,2
177353,2
177356,0
177359,0
177362,0
177365,2
177368,1
177371,0
177374,0
177377,2
177380,0
177399,0
177402,0
177405,1
177408,0
177411,0
177414,0
177417,0
177420,0
177423,2
177426,1
177429,0
177432,2
177435,0
177438,0
177441,0
177444,0
177447,0
177450,0
177453,0
177456,1
177459,2
177462,2
177465,3
177468,0
177471,1
177474,0
177477,0
177480,2
177483,2
177486,0
177489,0
177492,0
177495,2
177498,2
177501,2
177504,3
177507,0
177510,2
177513,0
177516,3
177519,1
177522,2
177525,1
177528,2
177531,2
177534,0
177537,2
177540,1
177543,2
177546,2
177549,0
177552,0
177555,1
177558,2
177561,2
177564,0
177567,0
177570,2
177573,0
177576,1
177579,2
177582,2
177585,0
177588,0
177591,2
177594,0
177597,0
177600,1
177603,1
177606,0
177609,2
177612,0
177615,0
177618,1
177621,0
177624,3
177627,0
177630,0
177633,0
177636,2
177639,0
177642,0
177645,2
177648,0
177651,1
177654,0
177657,2
177660,0
177663,1
177666,2
177669,1
177672,0
177675,3
177678,0
177681,0
177684,0
177687,1
177690,1
177699,0
177702,2
177705,0
177708,2
177711,0
177719,0
177722,0
177725,2
177728,2
177731,2
177734,0
177737,0
177740,2
177743,0
177746,0
177749,0
177752,0
177755,2
177758,0
177761,0
177764,1
177767,0
177770,2
177773,0
177776,1
177779,0
177782,2
177785,0
177788,0
177791,1
177794,0
177797,2
177800,1
177803,0
177806,0
177809,0
177812,0
177815,1
177818,0
177821,1
177824,0
177827,2
177830,1
177833,0
177836,1
177839,0
177842,0
177845,2
177848,0
177851,1
177854,0
177857,2
177860,0
177863,0
177866,1
177869,0
177872,0
177875,0
177878,0
177881,1
177884,0
177887,0
177890,0
177893,0
177896,0
177899,0
177902,2
177905,0
177908,1
177911,0
177914,0
177917,0
177920,0
177923,0
177926,1
177929,0
177932,0
177935,0
177938,0
177941,3
177944,0
177947,0
177950,0
177953,2
177956,0
177959,0
177962,0
177965,2
177968,1
177971,1
177974,1
177977,0
177980,0
177983,1
177986,2
177989,2
177992,0
177995,3
177998,1
178001,0
178004,2
178007,0
178010,0
178013,2
178016,0
178019,0
178022,0
178025,0
178028,0
178031,0
178034,0
178037,2
178059,0
178062,0
178065,0
178068,0
178071,0
178074,2
178077,0
178080,2
178083,0
178086,0
178089,0
178092,0
178095,0
178098,0
178101,0
178104,0
178107,0
178110,1
178113,0
178116,0
178119,1
178122,1
178125,0
178128,2
178131,0
178134,1
178137,0
178140,0
178143,0
178146,0
178149,0
178152,0
178155,0
178158,0
178161,0
178164,0
178167,0
178170,0
178173,0
178176,0
178179,1
178182,0
178185,2
178188,0
178191,0
178194,2
178197,0
178200,0
178203,1
178206,0
178209,2
178212,2
178215,1
178218,0
178221,0
178224,2
178227,0
178230,2
178233,2
178236,0
178239,2
178242,2
178245,1
178248,0
178251,0
178254,1
178257,2
178260,2
178263,2
178266,2
178269,2
178272,0
178275,1
178278,1
178281,0
178284,0
178287,0
178290,2
178293,0
178296,0
178299,0
178302,3
178305,0
178308,2
178311,0
178314,2
178317,1
178320,0
178323,0
178326,0
178329,1
178332,0
178335,3
178338,0
178341,0
178344,0
178347,2
178350,0
178353,0
178356,3
178359,0
178362,0
178365,2
178368,2
178371,2
178374,0
178377,0
178380,0
178383,0
178386,2
178389,2
178392,2
178395,2
178398,0
178401,0
178404,0
178407,2
178410,0
178413,0
178416,0
178419,0
178422,0
178425,2
178428,0
178431,0
178434,0
178437,0
178459,0
178462,1
178465,2
178468,0
178471,0
178474,1
178479,0
178482,0
178485,0
178488,0
178491,0
178494,0
178497,2
178500,0
178503,2
178506,0
178509,0
178512,0
178515,0
178518,3
178521,2
178524,2
178527,0
178530,0
178533,0
178536,2
178539,2
178542,0
178545,1
178548,0
178551,2
178554,0
178557,1
178560,0
178563,0
178566,0
178569,2
178572,2
178575,1
178578,0
178581,1
178584,0
178587,0
178590,1
178593,2
178596,2
178599,0
178602,0
178605,0
178608,0
178611,0
178614,0
178617,0
178620,2
178623,0
178626,0
178629,0
178632,0
178635,0
178638,2
178641,2
178644,1
178647,0
178650,0
178653,0
178656,1
178659,2
178662,0
178665,0
178668,1
178671,0
178674,0
178677,1
178680,3
178683,0
178686,1
178689,2
178692,2
178695,0
178698,2
178701,0
178704,0
178707,2
178710,2
178713,0
178716,2
178719,2
178722,1
178739,1
178742,0
178745,2
178748,0
178759,2
178762,2
178765,0
178768,2
